Income,Age,Risk_Appetite,Net_Worth,Investment_Horizon,Stock_Allocation,Bond_Allocation,FD_Allocation,ETF_Allocation,Cash_Allocation,Other_Allocation,Expected_Return,Portfolio_Volatility
89274.5,43,High,897187.11,18,66.14,8.77,5.47,17.74,1.69,0.19,10,15.77
53717.19,30,High,542263.5,30,66.61,6.3,3.24,9.53,0.71,13.6,10.86,15.75
100735.21,48,Medium,311162.99,19,36.73,17.18,13.13,18.82,14.07,0.07,7.06,11.83
202911.2,32,Medium,815671.24,30,39.82,26.45,9.67,13.2,8.68,2.18,7.81,13.9
49750.57,48,Medium,404659.56,18,30.49,23.2,6.9,17.05,9.56,12.8,7.19,12.88
49751.22,36,Medium,402338,26,48.12,11.88,14.28,14.72,8.63,2.37,7.54,13.08
212239.39,19,Medium,1152649.93,30,35.18,13.37,11.06,12.05,13.76,14.58,7.06,11.26
110862.68,28,High,753937.59,30,59.71,8.01,0.02,9.27,6.36,16.62,10.34,17.21
41213.47,34,Low,348089.67,30,18.64,24.84,24.43,6.99,18.33,6.77,5.85,9.16
92609.58,56,Low,945429.23,13,10.26,24.1,31.11,9.75,21.71,3.07,4.77,8.99
41413.64,50,Low,373062.67,11,9.49,34.79,24.03,9.23,18.74,3.72,4.53,9.18
41337.11,59,Low,178140.39,7,13.14,29.47,23.01,6.03,22.35,6,3.89,9.03
72814.45,59,Medium,622785.73,6,33.17,22.28,5.83,15.33,11.48,11.91,7.79,11.4
20000,33,Low,83836.21,30,19.65,23.9,22.33,8.25,22.2,3.68,6.36,9.84
20000,37,Low,157401.16,30,7.44,39.39,26.28,7.35,17.52,2.01,5.02,7.29
38264.19,35,Low,272818.15,30,13.47,31.93,26.21,8.33,15.38,4.68,5.34,8.51
26684.41,31,Low,250509.13,30,10.19,28.52,18.65,8.9,26.41,7.33,4.17,5.68
77149.29,18,Low,179432.52,30,14.04,32.84,28.06,6.69,17.99,0.38,4.33,7.32
29018.26,39,Medium,300106.79,24,38.11,22.45,10.65,9.34,9.29,10.16,6.94,12.61
20000,24,Medium,170221.56,30,34.79,20.99,6.69,18.35,7.46,11.71,7,14.54
193807.15,39,Medium,474974.37,22,39.66,11.59,11.87,15.87,8.41,12.61,8.11,14.56
50085.1,65,Low,229291.25,1,17.35,25.31,27.82,7.48,12.06,9.98,5.94,9.66
63330.51,33,Low,179682.33,29,13.08,34.99,27,9.72,12.91,2.3,4.62,8.43
20000,42,Low,204550.34,19,20.67,28.3,17.3,6.41,25.51,1.8,4.85,9.07
38816.23,50,Medium,180703.58,15,40.46,23.48,12.14,9.17,11.16,3.6,7.32,11.97
65567.66,43,Medium,198054.4,24,31.63,22.85,12.93,14.71,9.86,8.03,6.15,12.68
23892.14,43,Low,117158.87,23,24.24,26.96,19.18,5.35,23.29,0.97,5.39,9.85
81036.77,35,High,559831.06,30,74.59,1.81,2.89,12.88,1.37,6.46,10.81,19.75
37108.04,37,Medium,258308.34,26,43.52,14.39,8.47,16.49,9.28,7.84,8.31,15.07
47512.34,28,Low,216626.8,30,10.07,32.46,21.71,7.02,26.56,2.18,4.47,7.61
37076.35,50,Low,403837.48,17,18.24,21.54,20.87,9.58,29.17,0.6,4.43,8.64
264057.56,19,High,2352865.07,30,68.91,6.63,4.83,12.28,2.74,4.62,9.64,19.05
59355.62,51,Low,319031.43,12,14.45,33.82,11.74,6.28,26.2,7.51,3.45,9.59
25743.34,23,Medium,172223.19,30,29.41,27.43,13.15,12.41,9.64,7.97,6.47,13.3
115859.76,51,High,761751.61,11,62.25,0.91,3.82,21.37,1.35,10.3,9.82,16.91
22593.67,35,Low,216865.6,30,15.42,39.86,16.18,8.94,18.27,1.33,4.75,9.82
70911.7,25,Medium,409594.74,30,39.05,21.01,13.36,9.55,12.6,4.44,7.89,13.67
20000,46,Low,173435.32,16,11.73,36.46,21.52,12.37,15.81,2.1,5.24,9.44
20734.43,51,Low,160903.37,13,19.83,23.57,16.44,6.01,28.26,5.89,4.82,9.62
70234.07,34,Medium,603076.24,30,40.31,25.69,10.55,15.23,5.54,2.69,7.7,13.46
108323.03,48,High,746409.72,17,66.01,7.68,4.08,11.28,3.85,7.1,10.19,18.07
68816.2,18,High,611350.13,30,57.18,5.19,3.78,20.66,1.68,11.51,10.2,14.81
54697.93,24,Low,156909.76,30,17.84,23.96,19.36,6.94,25.97,5.93,4.64,9.76
47156.02,55,Low,490459.92,11,15.5,30.28,19.6,9.55,21.77,3.3,4.7,8.65
20000,37,Low,208102.47,27,6.66,35.83,20.45,7.13,28.05,1.89,3.62,6.83
33732.75,18,Medium,306348.82,30,30.78,23.57,10.68,14.69,8.44,11.84,6.64,11
41505.82,31,Low,160600.69,30,16.12,33.17,17.94,7.99,18.96,5.81,4.31,8.46
139776.17,28,Medium,602170.17,30,48.61,10.52,9.13,17.75,13.45,0.54,8.03,15.56
78983.52,38,Medium,815363.13,30,39.36,15,11.29,17.97,7.5,8.87,8.42,13.01
20000,35,Low,227044.01,30,21.02,34.72,15.63,6.06,15.8,6.77,6.17,11.66
77758.8,42,Low,338444.34,19,14.23,27.62,13.72,7.73,31.16,5.54,4.78,8.74
44092.02,39,Medium,279884.45,24,42.9,17.44,9.06,14.74,5.78,10.08,8.79,12.21
34911.17,56,Low,169375.61,10,16.96,36.24,15.79,5.93,14.21,10.87,5.6,9.75
97874.46,45,Low,446393.46,13,7.81,40.29,24.26,10.27,13.9,3.47,4.86,8.91
136885.41,45,Low,521063.92,20,11.33,30.28,14.12,13.66,19.8,10.81,5.56,9.81
126389.53,53,Low,387615.81,12,18.49,24.22,21.82,7.19,19.89,8.4,5.52,10.3
30660.36,35,Low,238456.95,30,13.77,21.31,22.46,5.93,28.67,7.85,3.37,8.91
46851.11,24,Low,207950.83,30,22.17,26.64,17.47,8.56,17.65,7.5,6.19,8.15
78206.7,54,Medium,831212.2,10,43.77,9.91,9.39,10.56,12.98,13.39,8,14.84
130945.43,41,Low,842846.69,27,13.91,33.75,12.78,5.97,25.29,8.3,4.3,10.38
40894.89,41,Low,240270.77,22,11.73,23.23,23.2,6.18,30.98,4.67,4.53,8.25
51718.59,32,Medium,513256.9,30,36.45,25.08,5.93,18.89,7.86,5.78,7.44,14.62
24761.17,32,Low,204485.53,30,10,25.45,27.72,10.09,26.61,0.13,4.81,9.05
23043.4,50,Low,119513.42,16,12.71,29.3,31.67,9.07,15.25,2,5.51,8.42
114934.82,51,Low,738604.9,11,15.54,36.94,19.1,4.74,21.34,2.34,4.79,9.5
177564.97,49,Low,1030691.6,18,25.47,23.85,20.19,7.05,13.26,10.17,6.49,11.19
56641.19,49,Low,508986.31,14,16.68,32.8,16.19,8.84,14.81,10.67,5.49,10.61
133910.39,46,Low,1057053.12,25,12.67,33.62,16.62,5.91,26.95,4.22,4.44,8.48
80130.25,41,Medium,438953.29,19,39.9,19.29,11.06,11.77,11.18,6.81,7.84,13.07
35810.77,37,Low,243120.88,25,23.37,35.55,11.83,6.92,18.5,3.84,5.69,11.49
80114.84,54,Low,546730.63,4,20.48,31.72,17.7,6.71,14.83,8.56,5.7,10.01
205361.91,35,High,1139782.87,30,60.24,4.3,0.81,14.38,7.32,12.94,10.19,15.79
58304.76,44,Medium,210854.87,17,40.73,18.26,5.83,20.96,8.23,5.98,9.1,14.56
209780.03,30,High,1969115.73,30,61.96,3.59,2.91,14.85,1.9,14.79,10.03,16.36
20000,32,Low,179609.6,30,6.38,37.09,20.72,7.17,26.93,1.7,3.86,8.57
115800.23,37,Medium,703750.17,25,31.72,24.61,13.19,12.67,5.04,12.77,7.86,10.79
64327.18,30,Medium,451773.72,30,44.2,14.96,7.88,14.92,11.7,6.34,8.32,15.6
47235.17,49,Low,224020.89,12,5.38,31.86,24.66,9.4,21.87,6.83,4.52,6.2
64570.21,23,Medium,426205.5,30,26.28,24.51,12.44,11.86,12.12,12.79,6.24,13.18
20000,41,Low,200364.44,19,6.58,39.67,10.89,5.46,28.43,8.99,4.07,7.09
50330.29,41,Medium,356540.45,26,37.26,21.68,6.13,17.16,12.27,5.49,7.1,14.05
79840.8,18,Medium,484695.25,30,31.01,21.4,6.19,17.85,12.38,11.17,7.51,12.38
195715.05,34,Low,1149396.8,30,7.16,24.8,28.37,5.71,24.83,9.14,4.35,8.3
39635.63,43,Low,363770.43,21,21.97,21.09,24.5,7.69,22.42,2.33,4.7,8.18
31423.3,45,Medium,297225.95,25,42.3,22.72,11.13,14.72,5.47,3.66,7.27,14.18
40162.71,37,Low,358324.24,28,22.14,24.62,20.21,8.67,16.18,8.18,6.47,9.53
124794.23,48,Medium,543353.24,19,41.37,13.34,15.04,20.37,7.44,2.44,7.99,11.32
78049.67,38,Medium,579911.34,28,37.71,28.16,7.34,9.63,4.81,12.35,8.62,14.07
39272.97,40,Low,363265.94,24,7.56,42.94,14.82,11.19,14.63,8.86,4.78,9.08
90464.59,43,Medium,630581.46,25,41.06,24.73,6.27,12.36,9.98,5.6,8.59,12.97
64845.44,51,Medium,584795.92,15,39.16,17.14,7.72,16.42,11.11,8.45,7.22,12.09
130224.59,31,High,1181563.81,30,72.57,3.27,3.36,16.12,1.14,3.55,10.44,17.7
34216.3,34,Low,150031.59,28,16.91,30.95,22.94,7.87,13.23,8.1,5.43,11.66
46164.67,31,Low,236466.34,30,19.15,28.66,22.45,6.47,19.57,3.7,4.69,10.14
43844.88,36,Medium,334604.58,30,36.96,13.32,11.01,16.34,12.68,9.69,7.57,13.59
20000,57,Medium,143348.54,4,40.62,23.43,6.91,12.59,10.79,5.66,7.87,13.02
76038.58,46,Medium,770729.98,18,37.75,25.7,8.95,12.56,5.78,9.25,8.09,15.22
73935.18,26,Low,288697.16,30,20.84,32.53,19.17,7.22,14.2,6.05,5.75,9.15
60245.95,32,High,324529.25,28,66.05,6.6,4,11.62,8.53,3.21,9.61,14.8
49733.31,44,Low,539067.73,20,9.12,36.83,13.77,10.22,21.76,8.31,5.56,10.27
20000,29,Low,99269.08,30,8.57,35.62,20.88,9.12,24.39,1.42,4.03,7.41
42855.26,31,Low,270584.1,30,11.95,34.65,16.34,10.64,18.95,7.46,5.36,9.69
45612.1,56,Low,261722.34,8,6.24,25.79,29.76,6.16,29.77,2.28,4.15,5.8
31579.96,32,Medium,299747.33,30,45.16,11.85,7.03,14.64,5.44,15.89,8.12,16.26
52736.93,51,Medium,284792.2,16,41.11,23.59,10.64,10.83,6.76,7.07,7.54,13.62
82895.87,55,Low,327846.09,3,17.9,40.73,12.37,7.08,13.02,8.91,5.28,9.56
271318.47,31,High,2599051.27,30,61.68,4.15,0.9,12.12,5.41,15.74,8.97,15.69
68993.12,29,Medium,342174.89,30,40.51,21.37,13.16,11.7,4.56,8.71,7.04,13.78
73728.16,36,High,620957.8,28,71.06,2.29,0.68,15.24,10.07,0.67,9.47,16.53
